200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200
100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100
4,4,4,4,4,4,4,4,7,7,7,7,7,7,8,8,8,8,8,14,14,14,14,14,14,14,14,14,14,14,15,15,15,15,15,17,17,17,17,17,19,19,19,19,19,19,18,18,18,18,18,26,26,26,26,26,26,35,35,35,35,35,39,39,39,39,39,54,54,54,54,54,54,67,67,67,67,67,62,62,62,62,62,62,90,90,90,90,90,89,89,89,89,89,135,135,135,135,135,135,137,137,137,137,137,200,200,200
0,5,10,15,20,25,30,35,40,45,50,55,60,65,70,75,80,85,90,95,100,105,110,115,120,125,130,135,140,145,150,155,160,165,170,175,180,185,190,195,200,205,210,215,220,225,230,235,240,245,250,255,260,265,270,275,280,285,290,295,300,305,310,315,320,325,330,335,340,345,350,355,360,365,370,375,380,385,390,395,400,405,410,415,420,425,430,435,440,445,450,455,460,465,470,475,480,485,490,495,500,505,510,515,520,525,530,535
0,0,0,0,0,0,0,0,0,0,0,1660,1660,1660,1660,1660,1660,1660,1660,1660,1660,1660,830,830,830,830,830,830,830,830,830,830,830,555,555,555,555,555,555,555,555,555,555,415,415,415,415,415,415,415,415,415,415,415,335,335,335,335,335,335,335,335,335,335,335,280,280,280,280,280,280,280,280,280,280,280,240,240,240,240,240,240,240,240,240,240,240,210,210,210,210,210,210,210,210,210,210,185,185,185,185,185,185,185,185,185,185,185
